"accession","length","host","segment","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"MH216557","1752","Human","4 (HA)","","Canada","N","2017/03/22","Influenza B virus (B/Alberta/009/2017)","","","","","","nc"
"KP864148","1650","Human","4 (HA)","","Canada","N","2014/03/05","Influenza B virus (B/Alberta/01/2014)","","","","","","p"
"MF195753","1774","Human","4 (HA)","","Canada","N","2016/01/26","Influenza B virus (B/Alberta/010/2016)","","","","","","c"
"MG910756","1752","Human","4 (HA)","","Canada","N","2018/01/11","Influenza B virus (B/Alberta/010/2018)","","","","","","nc"
"MF195755","1773","Human","4 (HA)","","Canada","N","2016/01/28","Influenza B virus (B/Alberta/012/2016)","","","","","","c"
"MH216560","1752","Human","4 (HA)","","Canada","N","2017/04/17","Influenza B virus (B/Alberta/012/2017)","","","","","","nc"
"MF195756","1777","Human","4 (HA)","","Canada","N","2016/01/29","Influenza B virus (B/Alberta/013/2016)","","","","","","c"
"MH216561","1752","Human","4 (HA)","","Canada","N","2017/04/19","Influenza B virus (B/Alberta/013/2017)","","","","","","nc"
"MG910759","1752","Human","4 (HA)","","Canada","N","2018/01/12","Influenza B virus (B/Alberta/013/2018)","","","","","","nc"
"MF195757","1774","Human","4 (HA)","","Canada","N","2016/02/02","Influenza B virus (B/Alberta/014/2016)","","","","","","c"
"MF195758","1774","Human","4 (HA)","","Canada","N","2016/02/03","Influenza B virus (B/Alberta/015/2016)","","","","","","c"
"MG910761","1752","Human","4 (HA)","","Canada","N","2018/01/12","Influenza B virus (B/Alberta/015/2018)","","","","","","nc"
"MF195759","1774","Human","4 (HA)","","Canada","N","2016/02/04","Influenza B virus (B/Alberta/016/2016)","","","","","","c"
"MF195760","1774","Human","4 (HA)","","Canada","N","2016/02/05","Influenza B virus (B/Alberta/017/2016)","","","","","","c"
"MF195761","1771","Human","4 (HA)","","Canada","N","2016/02/09","Influenza B virus (B/Alberta/019/2016)","","","","","","c"
"KP864149","1656","Human","4 (HA)","","Canada","N","2014/03/11","Influenza B virus (B/Alberta/02/2014)","","","","","","p"
"MF195762","1774","Human","4 (HA)","","Canada","N","2016/02/09","Influenza B virus (B/Alberta/020/2016)","","","","","","c"
"MF195763","1771","Human","4 (HA)","","Canada","N","2016/02/10","Influenza B virus (B/Alberta/021/2016)","","","","","","c"
"MF195765","1796","Human","4 (HA)","","Canada","N","2016/02/10","Influenza B virus (B/Alberta/023/2016)","","","","","","c"
"MF195766","1770","Human","4 (HA)","","Canada","N","2016/02/11","Influenza B virus (B/Alberta/024/2016)","","","","","","c"
"MF195767","1774","Human","4 (HA)","","Canada","N","2016/02/17","Influenza B virus (B/Alberta/025/2016)","","","","","","c"
"MF195768","1773","Human","4 (HA)","","Canada","N","2016/02/18","Influenza B virus (B/Alberta/027/2016)","","","","","","c"
"KP864150","1653","Human","4 (HA)","","Canada","N","2014/03/14","Influenza B virus (B/Alberta/03/2014)","","","","","","p"
"MF195769","1774","Human","4 (HA)","","Canada","N","2016/02/23","Influenza B virus (B/Alberta/032/2016)","","","","","","c"
"MF195770","1758","Human","4 (HA)","","Canada","N","2016/02/23","Influenza B virus (B/Alberta/033/2016)","","","","","","c"
"MF195771","1774","Human","4 (HA)","","Canada","N","2016/02/23","Influenza B virus (B/Alberta/035/2016)","","","","","","c"
"MF195772","1802","Human","4 (HA)","","Canada","N","2016/02/26","Influenza B virus (B/Alberta/036/2016)","","","","","","c"
"MF195773","1796","Human","4 (HA)","","Canada","N","2016/02/26","Influenza B virus (B/Alberta/037/2016)","","","","","","c"
"MF195774","1793","Human","4 (HA)","","Canada","N","2016/02/27","Influenza B virus (B/Alberta/038/2016)","","","","","","c"
"MF195775","1796","Human","4 (HA)","","Canada","N","2016/02/29","Influenza B virus (B/Alberta/039/2016)","","","","","","c"
"MF195776","1774","Human","4 (HA)","","Canada","N","2016/03/01","Influenza B virus (B/Alberta/040/2016)","","","","","","c"
"MF195777","1755","Human","4 (HA)","","Canada","N","2016/03/02","Influenza B virus (B/Alberta/041/2016)","","","","","","c"
"MF195778","1781","Human","4 (HA)","","Canada","N","2016/03/02","Influenza B virus (B/Alberta/042/2016)","","","","","","c"
"MF195779","1774","Human","4 (HA)","","Canada","N","2016/03/03","Influenza B virus (B/Alberta/043/2016)","","","","","","c"
"MF195780","1773","Human","4 (HA)","","Canada","N","2016/03/04","Influenza B virus (B/Alberta/044/2016)","","","","","","c"
"MH603763","1752","Human","4 (HA)","","Canada","N","2018/01/24","Influenza B virus (B/Alberta/044/2018)","","","","","","nc"
"MF195781","1796","Human","4 (HA)","","Canada","N","2016/03/06","Influenza B virus (B/Alberta/045/2016)","","","","","","c"
"MF195782","1795","Human","4 (HA)","","Canada","N","2016/03/08","Influenza B virus (B/Alberta/046/2016)","","","","","","c"
"MF195783","1795","Human","4 (HA)","","Canada","N","2016/03/08","Influenza B virus (B/Alberta/047/2016)","","","","","","c"
"MF195784","1795","Human","4 (HA)","","Canada","N","2016/03/09","Influenza B virus (B/Alberta/048/2016)","","","","","","c"
"KP864152","1653","Human","4 (HA)","","Canada","N","2014/04/01","Influenza B virus (B/Alberta/05/2014)","","","","","","p"
"MF195786","1796","Human","4 (HA)","","Canada","N","2016/03/08","Influenza B virus (B/Alberta/050/2016)","","","","","","c"
"MF195787","1790","Human","4 (HA)","","Canada","N","2016/03/10","Influenza B virus (B/Alberta/051/2016)","","","","","","c"
"MF195788","1793","Human","4 (HA)","","Canada","N","2016/03/11","Influenza B virus (B/Alberta/053/2016)","","","","","","c"
"MF195790","1773","Human","4 (HA)","","Canada","N","2016/03/14","Influenza B virus (B/Alberta/055/2016)","","","","","","c"
"MF195791","1793","Human","4 (HA)","","Canada","N","2016/03/14","Influenza B virus (B/Alberta/056/2016)","","","","","","c"
"MF195792","1785","Human","4 (HA)","","Canada","N","2016/03/14","Influenza B virus (B/Alberta/057/2016)","","","","","","c"
"MF195793","1688","Human","4 (HA)","","Canada","N","2016/03/14","Influenza B virus (B/Alberta/058/2016)","","","","","","p"
"MF195794","1771","Human","4 (HA)","","Canada","N","2016/03/14","Influenza B virus (B/Alberta/059/2016)","","","","","","c"
"KP864153","1656","Human","4 (HA)","","Canada","N","2014/04/04","Influenza B virus (B/Alberta/06/2014)","","","","","","p"
"MF195795","1796","Human","4 (HA)","","Canada","N","2016/03/15","Influenza B virus (B/Alberta/060/2016)","","","","","","c"
"MF195796","1796","Human","4 (HA)","","Canada","N","2016/03/15","Influenza B virus (B/Alberta/061/2016)","","","","","","c"
"MF195797","1785","Human","4 (HA)","","Canada","N","2016/03/15","Influenza B virus (B/Alberta/062/2016)","","","","","","c"
"MF195798","1804","Human","4 (HA)","","Canada","N","2016/03/15","Influenza B virus (B/Alberta/063/2016)","","","","","","c"
"MF195799","1793","Human","4 (HA)","","Canada","N","2016/03/15","Influenza B virus (B/Alberta/064/2016)","","","","","","c"
"MF195800","1774","Human","4 (HA)","","Canada","N","2016/03/15","Influenza B virus (B/Alberta/065/2016)","","","","","","c"
"MF195801","1796","Human","4 (HA)","","Canada","N","2016/03/17","Influenza B virus (B/Alberta/066/2016)","","","","","","c"
"MF195802","1795","Human","4 (HA)","","Canada","N","2016/03/17","Influenza B virus (B/Alberta/067/2016)","","","","","","c"
"MF195803","1795","Human","4 (HA)","","Canada","N","2016/03/21","Influenza B virus (B/Alberta/068/2016)","","","","","","c"
"MH603737","1752","Human","4 (HA)","","Canada","N","2018/03/05","Influenza B virus (B/Alberta/068/2018)","","","","","","nc"
"MF195804","868","Human","4 (HA)","","Canada","N","2016/03/24","Influenza B virus (B/Alberta/069/2016)","","","","","","p"
"KP864154","1662","Human","4 (HA)","","Canada","N","2014/04/07","Influenza B virus (B/Alberta/07/2014)","","","","","","p"
"MF195805","1795","Human","4 (HA)","","Canada","N","2016/03/24","Influenza B virus (B/Alberta/070/2016)","","","","","","c"
"MF195806","1796","Human","4 (HA)","","Canada","N","2016/03/24","Influenza B virus (B/Alberta/071/2016)","","","","","","c"
"MF195807","1795","Human","4 (HA)","","Canada","N","2016/03/26","Influenza B virus (B/Alberta/072/2016)","","","","","","c"
"MF195808","1776","Human","4 (HA)","","Canada","N","2016/03/28","Influenza B virus (B/Alberta/073/2016)","","","","","","c"
"MH603738","1752","Human","4 (HA)","","Canada","N","2018/03/08","Influenza B virus (B/Alberta/073/2018)","","","","","","nc"
"MF195809","1774","Human","4 (HA)","","Canada","N","2016/03/30","Influenza B virus (B/Alberta/074/2016)","","","","","","c"
"MF195813","1775","Human","4 (HA)","","Canada","N","2016/04/04","Influenza B virus (B/Alberta/079/2016)","","","","","","c"
"KP864155","1650","Human","4 (HA)","","Canada","N","2014/04/15","Influenza B virus (B/Alberta/08/2014)","","","","","","p"
"MF195814","1796","Human","4 (HA)","","Canada","N","2016/04/06","Influenza B virus (B/Alberta/080/2016)","","","","","","c"
"MF195815","1773","Human","4 (HA)","","Canada","N","2016/04/07","Influenza B virus (B/Alberta/081/2016)","","","","","","c"
"MF195817","1796","Human","4 (HA)","","Canada","N","2016/04/09","Influenza B virus (B/Alberta/083/2016)","","","","","","c"
"MH603717","1752","Human","4 (HA)","","Canada","N","2018/04/13","Influenza B virus (B/Alberta/084/2018)","","","","","","nc"
"KP864156","1659","Human","4 (HA)","","Canada","N","2014/04/19","Influenza B virus (B/Alberta/09/2014)","","","","","","p"
"KP864157","1659","Human","4 (HA)","","Canada","N","2014/04/19","Influenza B virus (B/Alberta/10/2014)","","","","","","p"
"KU729651","1493","Human","4 (HA)","","Canada","N","2015/01/26","Influenza B virus (B/Alberta/10/2015)","","","","","","p"
"KP864158","1662","Human","4 (HA)","","Canada","N","2014/04/24","Influenza B virus (B/Alberta/11/2014)","","","","","","p"
"KU729628","1755","Human","4 (HA)","","Canada","N","2015/01/27","Influenza B virus (B/Alberta/11/2015)","","","","","","c"
"KU729629","1755","Human","4 (HA)","","Canada","N","2015/02/10","Influenza B virus (B/Alberta/12/2015)","","","","","","c"
"KU729647","1755","Human","4 (HA)","","Canada","N","2015/02/10","Influenza B virus (B/Alberta/13/2015)","","","","","","c"
"KU729658","1755","Human","4 (HA)","","Canada","N","2015/03/17","Influenza B virus (B/Alberta/15/2015)","","","","","","c"
"KU729626","1752","Human","4 (HA)","","Canada","N","2015/03/04","Influenza B virus (B/Alberta/16/2015)","","","","","","c"
"KU729644","1755","Human","4 (HA)","","Canada","N","2015/03/04","Influenza B virus (B/Alberta/17/2015)","","","","","","c"
"KU729624","1755","Human","4 (HA)","","Canada","N","2015/03/09","Influenza B virus (B/Alberta/18/2015)","","","","","","c"
"KU729633","1755","Human","4 (HA)","","Canada","N","2015/03/09","Influenza B virus (B/Alberta/19/2015)","","","","","","c"
"MH613842","1758","Human","4 (HA)","","Canada","N","2015/03/10","Influenza B virus (B/Alberta/20/2015)","","","","","","c"
"KU729634","1617","Human","4 (HA)","","Canada","N","2015/03/11","Influenza B virus (B/Alberta/21/2015)","","","","","","p"
"KU729645","1755","Human","4 (HA)","","Canada","N","2015/03/12","Influenza B virus (B/Alberta/22/2015)","","","","","","c"
"KU729652","1755","Human","4 (HA)","","Canada","N","2015/03/16","Influenza B virus (B/Alberta/23/2015)","","","","","","c"
"KU729631","1503","Human","4 (HA)","","Canada","N","2015/03/17","Influenza B virus (B/Alberta/24/2015)","","","","","","p"
"KU729642","1755","Human","4 (HA)","","Canada","N","2015/03/17","Influenza B virus (B/Alberta/25/2015)","","","","","","c"
"KU729623","1755","Human","4 (HA)","","Canada","N","2015/03/18","Influenza B virus (B/Alberta/28/2015)","","","","","","c"
"KU729621","1755","Human","4 (HA)","","Canada","N","2015/01/12","Influenza B virus (B/Alberta/3/2015)","","","","","","c"
"KU729649","1755","Human","4 (HA)","","Canada","N","2015/03/26","Influenza B virus (B/Alberta/30/2015)","","","","","","c"
"MG910762","1752","Human","4 (HA)","","Canada","N","2017/11/07","Influenza B virus (B/Alberta/301/2017)","","","","","","nc"
"MG910764","1752","Human","4 (HA)","","Canada","N","2017/11/14","Influenza B virus (B/Alberta/303/2017)","","","","","","nc"
"MG910765","1752","Human","4 (HA)","","Canada","N","2017/11/20","Influenza B virus (B/Alberta/304/2017)","","","","","","nc"
"MG910766","1752","Human","4 (HA)","","Canada","N","2017/11/21","Influenza B virus (B/Alberta/305/2017)","","","","","","nc"
"MG910767","1752","Human","4 (HA)","","Canada","N","2017/11/21","Influenza B virus (B/Alberta/306/2017)","","","","","","nc"
"MG910768","1752","Human","4 (HA)","","Canada","N","2017/11/22","Influenza B virus (B/Alberta/307/2017)","","","","","","nc"
"MG910769","1752","Human","4 (HA)","","Canada","N","2017/11/23","Influenza B virus (B/Alberta/308/2017)","","","","","","nc"
"KU729632","1755","Human","4 (HA)","","Canada","N","2015/03/27","Influenza B virus (B/Alberta/31/2015)","","","","","","c"
"MG910771","1752","Human","4 (HA)","","Canada","N","2017/11/27","Influenza B virus (B/Alberta/310/2017)","","","","","","nc"
"MG910772","1752","Human","4 (HA)","","Canada","N","2017/11/29","Influenza B virus (B/Alberta/311/2017)","","","","","","nc"
"MG910773","1752","Human","4 (HA)","","Canada","N","2017/12/05","Influenza B virus (B/Alberta/312/2017)","","","","","","nc"
"MG910775","1752","Human","4 (HA)","","Canada","N","2017/12/06","Influenza B virus (B/Alberta/314/2017)","","","","","","nc"
"MG910776","1752","Human","4 (HA)","","Canada","N","2017/12/07","Influenza B virus (B/Alberta/315/2017)","","","","","","nc"
"MG910779","1752","Human","4 (HA)","","Canada","N","2017/12/10","Influenza B virus (B/Alberta/319/2017)","","","","","","nc"
"KU729659","1755","Human","4 (HA)","","Canada","N","2015/03/29","Influenza B virus (B/Alberta/32/2015)","","","","","","c"
"MG910781","1752","Human","4 (HA)","","Canada","N","2017/11/09","Influenza B virus (B/Alberta/321/2017)","","","","","","nc"
"MG910782","1752","Human","4 (HA)","","Canada","N","2017/11/13","Influenza B virus (B/Alberta/322/2017)","","","","","","nc"
"MG910783","1752","Human","4 (HA)","","Canada","N","2017/11/14","Influenza B virus (B/Alberta/323/2017)","","","","","","nc"
"MG910786","1752","Human","4 (HA)","","Canada","N","2017/12/07","Influenza B virus (B/Alberta/327/2017)","","","","","","nc"
"KU729657","1755","Human","4 (HA)","","Canada","N","2015/04/02","Influenza B virus (B/Alberta/33/2015)","","","","","","c"
"MG910789","1605","Human","4 (HA)","","Canada","N","2017/12/11","Influenza B virus (B/Alberta/330/2017)","","","","","","p"
"MG910790","1752","Human","4 (HA)","","Canada","N","2017/12/12","Influenza B virus (B/Alberta/331/2017)","","","","","","nc"
"MG910791","1752","Human","4 (HA)","","Canada","N","2017/12/12","Influenza B virus (B/Alberta/332/2017)","","","","","","nc"
"MG910793","1752","Human","4 (HA)","","Canada","N","2017/12/12","Influenza B virus (B/Alberta/334/2017)","","","","","","nc"
"MG910794","1752","Human","4 (HA)","","Canada","N","2017/12/13","Influenza B virus (B/Alberta/335/2017)","","","","","","nc"
"MG910795","1752","Human","4 (HA)","","Canada","N","2017/12/14","Influenza B virus (B/Alberta/336/2017)","","","","","","nc"
"MG910796","1752","Human","4 (HA)","","Canada","N","2017/12/14","Influenza B virus (B/Alberta/337/2017)","","","","","","nc"
"KU729648","1755","Human","4 (HA)","","Canada","N","2015/04/06","Influenza B virus (B/Alberta/34/2015)","","","","","","c"
"MG910799","1752","Human","4 (HA)","","Canada","N","2017/12/20","Influenza B virus (B/Alberta/340/2017)","","","","","","nc"
"MG910805","1752","Human","4 (HA)","","Canada","N","2017/12/27","Influenza B virus (B/Alberta/346/2017)","","","","","","nc"
"MG910806","1752","Human","4 (HA)","","Canada","N","2017/12/28","Influenza B virus (B/Alberta/347/2017)","","","","","","nc"
"MG910807","1752","Human","4 (HA)","","Canada","N","2017/11/28","Influenza B virus (B/Alberta/348/2017)","","","","","","nc"
"KU729653","1755","Human","4 (HA)","","Canada","N","2015/04/14","Influenza B virus (B/Alberta/35/2015)","","","","","","c"
"MG910809","1707","Human","4 (HA)","","Canada","N","2017/12/15","Influenza B virus (B/Alberta/350/2017)","","","","","","p"
"MG910813","1752","Human","4 (HA)","","Canada","N","2017/12/19","Influenza B virus (B/Alberta/354/2017)","","","","","","nc"
"MG910814","1752","Human","4 (HA)","","Canada","N","2017/12/19","Influenza B virus (B/Alberta/355/2017)","","","","","","nc"
"MG910818","1752","Human","4 (HA)","","Canada","N","2017/12/21","Influenza B virus (B/Alberta/359/2017)","","","","","","nc"
"KU729650","1755","Human","4 (HA)","","Canada","N","2015/04/17","Influenza B virus (B/Alberta/36/2015)","","","","","","c"
"MG910820","1752","Human","4 (HA)","","Canada","N","2017/12/27","Influenza B virus (B/Alberta/361/2017)","","","","","","nc"
"MG910822","1752","Human","4 (HA)","","Canada","N","2017/12/28","Influenza B virus (B/Alberta/363/2017)","","","","","","nc"
"KU729643","1755","Human","4 (HA)","","Canada","N","2015/01/20","Influenza B virus (B/Alberta/9/2015)","","","","","","c"
"MG910825","1752","Human","4 (HA)","","Canada","N","2018/01/02","Influenza B virus (B/British Columbia/001/2018)","","","","","","nc"
"MF195969","1758","Human","4 (HA)","","Canada","N","2016/01/05","Influenza B virus (B/British Columbia/002/2016)","","","","","","c"
"MG910826","1752","Human","4 (HA)","","Canada","N","2018/01/04","Influenza B virus (B/British Columbia/002/2018)","","","","","","nc"
"MF195970","1771","Human","4 (HA)","","Canada","N","2016/01/04","Influenza B virus (B/British Columbia/004/2016)","","","","","","c"
"MH216564","1746","Human","4 (HA)","","Canada","N","2017/01/13","Influenza B virus (B/British Columbia/005/2017)","","","","","","p"
"MG910829","1752","Human","4 (HA)","","Canada","N","2018/01/03","Influenza B virus (B/British Columbia/005/2018)","","","","","","nc"
"MF195971","1687","Human","4 (HA)","","Canada","N","2016/01/09","Influenza B virus (B/British Columbia/006/2016)","","","","","","p"
"MH216565","1752","Human","4 (HA)","","Canada","N","2017/01/16","Influenza B virus (B/British Columbia/006/2017)","","","","","","nc"
"MF195972","1782","Human","4 (HA)","","Canada","N","2016/01/11","Influenza B virus (B/British Columbia/007/2016)","","","","","","c"
"MH216566","1752","Human","4 (HA)","","Canada","N","2017/01/16","Influenza B virus (B/British Columbia/007/2017)","","","","","","nc"
"MG910831","1752","Human","4 (HA)","","Canada","N","2018/01/04","Influenza B virus (B/British Columbia/007/2018)","","","","","","nc"
"MF195973","1419","Human","4 (HA)","","Canada","N","2016/01/11","Influenza B virus (B/British Columbia/008/2016)","","","","","","p"
"MH216567","1752","Human","4 (HA)","","Canada","N","2017/01/17","Influenza B virus (B/British Columbia/008/2017)","","","","","","nc"
"MG910832","1752","Human","4 (HA)","","Canada","N","2018/01/05","Influenza B virus (B/British Columbia/008/2018)","","","","","","nc"
"MF195974","1750","Human","4 (HA)","","Canada","N","2016/01/13","Influenza B virus (B/British Columbia/009/2016)","","","","","","p"
"MH216568","1752","Human","4 (HA)","","Canada","N","2017/01/18","Influenza B virus (B/British Columbia/009/2017)","","","","","","nc"
"KP864173","1755","Human","4 (HA)","","Canada","N","2014/01/15","Influenza B virus (B/British Columbia/01/2014)","","","","","","c"
"MF195975","1758","Human","4 (HA)","","Canada","N","2016/01/12","Influenza B virus (B/British Columbia/010/2016)","","","","","","c"
"MH216569","1752","Human","4 (HA)","","Canada","N","2017/01/25","Influenza B virus (B/British Columbia/010/2017)","","","","","","nc"
"MG910834","1752","Human","4 (HA)","","Canada","N","2018/01/05","Influenza B virus (B/British Columbia/010/2018)","","","","","","nc"
"MF195977","1758","Human","4 (HA)","","Canada","N","2016/01/16","Influenza B virus (B/British Columbia/012/2016)","","","","","","c"
"MF195978","1758","Human","4 (HA)","","Canada","N","2016/01/15","Influenza B virus (B/British Columbia/013/2016)","","","","","","c"
"MH216572","1752","Human","4 (HA)","","Canada","N","2017/01/27","Influenza B virus (B/British Columbia/013/2017)","","","","","","nc"
"MF195979","1758","Human","4 (HA)","","Canada","N","2016/01/18","Influenza B virus (B/British Columbia/014/2016)","","","","","","c"
"MF195980","1758","Human","4 (HA)","","Canada","N","2016/01/18","Influenza B virus (B/British Columbia/015/2016)","","","","","","c"
"MG910839","1752","Human","4 (HA)","","Canada","N","2018/01/08","Influenza B virus (B/British Columbia/015/2018)","","","","","","nc"
"MH216575","1752","Human","4 (HA)","","Canada","N","2017/01/31","Influenza B virus (B/British Columbia/016/2017)","","","","","","nc"
"MF195982","1684","Human","4 (HA)","","Canada","N","2016/01/19","Influenza B virus (B/British Columbia/017/2016)","","","","","","p"
"MH216576","1752","Human","4 (HA)","","Canada","N","2017/02/08","Influenza B virus (B/British Columbia/017/2017)","","","","","","nc"
"MG910841","1752","Human","4 (HA)","","Canada","N","2018/01/05","Influenza B virus (B/British Columbia/017/2018)","","","","","","nc"
"MH216577","1752","Human","4 (HA)","","Canada","N","2017/02/08","Influenza B virus (B/British Columbia/018/2017)","","","","","","nc"
"MG910842","1752","Human","4 (HA)","","Canada","N","2018/01/08","Influenza B virus (B/British Columbia/018/2018)","","","","","","nc"
"MG910843","1752","Human","4 (HA)","","Canada","N","2018/01/05","Influenza B virus (B/British Columbia/019/2018)","","","","","","nc"
"KP864172","1755","Human","4 (HA)","","Canada","N","2014/02/03","Influenza B virus (B/British Columbia/02/2014)","","","","","","c"
"MF195985","1544","Human","4 (HA)","","Canada","N","2016/01/20","Influenza B virus (B/British Columbia/020/2016)","","","","","","p"
"MF195986","1771","Human","4 (HA)","","Canada","N","2016/01/19","Influenza B virus (B/British Columbia/021/2016)","","","","","","c"
"MF195987","1748","Human","4 (HA)","","Canada","N","2016/01/20","Influenza B virus (B/British Columbia/022/2016)","","","","","","p"
"MH216581","1734","Human","4 (HA)","","Canada","N","2017/02/10","Influenza B virus (B/British Columbia/022/2017)","","","","","","p"
"MG910846","1752","Human","4 (HA)","","Canada","N","2018/01/10","Influenza B virus (B/British Columbia/022/2018)","","","","","","nc"
"MH216582","1752","Human","4 (HA)","","Canada","N","2017/02/16","Influenza B virus (B/British Columbia/023/2017)","","","","","","nc"
"MG910847","1752","Human","4 (HA)","","Canada","N","2018/01/10","Influenza B virus (B/British Columbia/023/2018)","","","","","","nc"
"MG910848","1752","Human","4 (HA)","","Canada","N","2018/01/09","Influenza B virus (B/British Columbia/024/2018)","","","","","","nc"
"MF195988","1709","Human","4 (HA)","","Canada","N","2016/01/21","Influenza B virus (B/British Columbia/025/2016)","","","","","","p"
"MH216584","1752","Human","4 (HA)","","Canada","N","2017/02/23","Influenza B virus (B/British Columbia/025/2017)","","","","","","nc"
"MG910849","1752","Human","4 (HA)","","Canada","N","2018/01/09","Influenza B virus (B/British Columbia/025/2018)","","","","","","nc"
"MH216585","1752","Human","4 (HA)","","Canada","N","2017/02/23","Influenza B virus (B/British Columbia/026/2017)","","","","","","nc"
"MG910850","1752","Human","4 (HA)","","Canada","N","2018/01/05","Influenza B virus (B/British Columbia/026/2018)","","","","","","nc"
"MF195989","1752","Human","4 (HA)","","Canada","N","2016/01/21","Influenza B virus (B/British Columbia/027/2016)","","","","","","p"
"MF195990","1758","Human","4 (HA)","","Canada","N","2016/01/21","Influenza B virus (B/British Columbia/028/2016)","","","","","","c"
"MF195992","1752","Human","4 (HA)","","Canada","N","2016/01/22","Influenza B virus (B/British Columbia/030/2016)","","","","","","p"
"MF195993","1771","Human","4 (HA)","","Canada","N","2016/01/22","Influenza B virus (B/British Columbia/031/2016)","","","","","","c"
"MH216590","1752","Human","4 (HA)","","Canada","N","2017/03/08","Influenza B virus (B/British Columbia/031/2017)","","","","","","nc"
"MG910855","1752","Human","4 (HA)","","Canada","N","2018/01/10","Influenza B virus (B/British Columbia/031/2018)","","","","","","nc"
"MF195994","1771","Human","4 (HA)","","Canada","N","2016/01/22","Influenza B virus (B/British Columbia/032/2016)","","","","","","c"
"MH216591","1752","Human","4 (HA)","","Canada","N","2017/03/08","Influenza B virus (B/British Columbia/032/2017)","","","","","","nc"
"MG910856","1752","Human","4 (HA)","","Canada","N","2018/01/11","Influenza B virus (B/British Columbia/032/2018)","","","","","","nc"
"MF195995","1771","Human","4 (HA)","","Canada","N","2016/01/21","Influenza B virus (B/British Columbia/033/2016)","","","","","","c"
"MF195996","1771","Human","4 (HA)","","Canada","N","2016/01/25","Influenza B virus (B/British Columbia/034/2016)","","","","","","c"
"MH216593","1752","Human","4 (HA)","","Canada","N","2017/03/08","Influenza B virus (B/British Columbia/034/2017)","","","","","","nc"
"MH216594","1752","Human","4 (HA)","","Canada","N","2017/03/08","Influenza B virus (B/British Columbia/035/2017)","","","","","","nc"
"MF195997","1710","Human","4 (HA)","","Canada","N","2016/01/25","Influenza B virus (B/British Columbia/036/2016)","","","","","","p"
"MF195998","1705","Human","4 (HA)","","Canada","N","2016/01/26","Influenza B virus (B/British Columbia/037/2016)","","","","","","p"
"MH216597","1752","Human","4 (HA)","","Canada","N","2017/03/13","Influenza B virus (B/British Columbia/038/2017)","","","","","","nc"
"MG910862","1752","Human","4 (HA)","","Canada","N","2018/01/10","Influenza B virus (B/British Columbia/038/2018)","","","","","","nc"
"MH216598","1752","Human","4 (HA)","","Canada","N","2017/03/13","Influenza B virus (B/British Columbia/039/2017)","","","","","","nc"
"MG910863","1752","Human","4 (HA)","","Canada","N","2018/01/08","Influenza B virus (B/British Columbia/039/2018)","","","","","","nc"
"MF196002","1697","Human","4 (HA)","","Canada","N","2016/01/26","Influenza B virus (B/British Columbia/041/2016)","","","","","","p"
