"accession","length","host","protein","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"ANE29016","757","Human","PB1","H1N1","USA","N","2016/01/11","Influenza A virus (A/Alabama/01/2016(H1N1))","","","","","","c"
"ANE29019","566","Human","HA","H1N1","USA","N","2016/01/11","Influenza A virus (A/Alabama/01/2016(H1N1))","","","","","","c"
"ANE29024","219","Human","NS1","H1N1","USA","N","2016/01/11","Influenza A virus (A/Alabama/01/2016(H1N1))","","","","","","c"
"AQS21137","759","Human","PB2","H3N2","USA","N","2017/01/04","Influenza A virus (A/Alabama/01/2017(H3N2))","E627K","","","","","c"
"AQS21138","757","Human","PB1","H3N2","USA","N","2017/01/04","Influenza A virus (A/Alabama/01/2017(H3N2))","","","","","","c"
"AQS21140","716","Human","PA","H3N2","USA","N","2017/01/04","Influenza A virus (A/Alabama/01/2017(H3N2))","","","","","","c"
"AQS21142","566","Human","HA","H3N2","USA","N","2017/01/04","Influenza A virus (A/Alabama/01/2017(H3N2))","","","","","","c"
"AQS21144","469","Human","NA","H3N2","USA","N","2017/01/04","Influenza A virus (A/Alabama/01/2017(H3N2))","","","","","","c"
"AVP08348","759","Human","PB2","H1N1","USA","N","2018/01/02","Influenza A virus (A/Alabama/01/2018(H1N1))","","","","","","c"
"AVP08352","566","Human","","H1N1","USA","N","2018/01/02","Influenza A virus (A/Alabama/01/2018(H1N1))","","","","","","c"
"QIQ44292","469","Human","NA","H1N1","USA","N","2020/01/12","Influenza A virus (A/Alabama/01/2020)","","","","","","c"
"ACR38806","759","Human","PB2","H1N1","USA","N","2009/04/27","Influenza A virus (A/Alabama/02/2009(H1N1))","","","","","","c"
"ACR38852","716","Human","PA","H1N1","USA","N","2009/04/27","Influenza A virus (A/Alabama/02/2009(H1N1))","","","","","","c"
"ACV67245","566","Human","HA","H1N1","USA","N","2009/04/27","Influenza A virus (A/Alabama/02/2009(H1N1))","","","","","","c"
"ACV67254","757","Human","PB1","H1N1","USA","N","2009/04/27","Influenza A virus (A/Alabama/02/2009(H1N1))","","","","","","c"
"AGI52861","469","Human","NA","H1N1","USA","N","2010/01/23","Influenza A virus (A/Alabama/02/2010(H1N1))","","","","","","c"
"AGK73256","566","Human","HA","H1N1","USA","N","2011/01/04","Influenza A virus (A/Alabama/02/2011(H1N1))","","","","","","c"
"AGK73257","469","Human","NA","H1N1","USA","N","2011/01/04","Influenza A virus (A/Alabama/02/2011(H1N1))","","","","","","c"
"AGL07340","566","Human","HA","H3N2","USA","N","2012/01/21","Influenza A virus (A/Alabama/02/2012(H3N2))","","","","","","c"
"AIM39760","566","Human","HA","H1N1","USA","N","2014/01/14","Influenza A virus (A/Alabama/02/2014(H1N1))","","","","","","c"
"ALH25248","759","Human","PB2","H3N2","USA","N","2015/01/26","Influenza A virus (A/Alabama/02/2015(H3N2))","E627K","","","","","c"
"ALH25322","469","Human","NA","H3N2","USA","N","2015/01/26","Influenza A virus (A/Alabama/02/2015(H3N2))","","","","","","c"
"ANM96273","566","Human","HA","H3N2","USA","N","2016/01/27","Influenza A virus (A/Alabama/02/2016(H3N2))","","","","","","c"
"AQS21131","498","Human","NP","H3N2","USA","N","2017/01/05","Influenza A virus (A/Alabama/02/2017(H3N2))","","","","","","c"
"AVP08365","469","Human","NA","H1N1","USA","N","2018/01/03","Influenza A virus (A/Alabama/02/2018(H1N1))","","","","","","c"
"QIQ44299","498","Human","NP","H1N1","USA","N","2020/01/15","Influenza A virus (A/Alabama/02/2020)","","","","","","c"
"QIQ44300","469","Human","NA","H1N1","USA","N","2020/01/15","Influenza A virus (A/Alabama/02/2020)","","","","","","c"
"QIQ44303","716","Human","PA","H1N1","USA","N","2020/01/15","Influenza A virus (A/Alabama/02/2020)","","","","","","c"
"AGI53960","757","Human","PB1","H1N1","USA","N","2010/03/01","Influenza A virus (A/Alabama/03/2010(H1N1))","","","","","","c"
"AGI53964","498","Human","NP","H1N1","USA","N","2010/03/01","Influenza A virus (A/Alabama/03/2010(H1N1))","","","","","","c"
"AGI53966","566","Human","HA","H1N1","USA","N","2010/03/01","Influenza A virus (A/Alabama/03/2010(H1N1))","","","","","","c"
"AGK74349","469","Human","NA","H3N2","USA","N","2011/04/04","Influenza A virus (A/Alabama/03/2011(H3N2))","","","","","","c"
"AIM39823","97","Human","M2","H1N1","USA","N","2014/03/05","Influenza A virus (A/Alabama/03/2014(H1N1))","S31N","","","","","c"
"AQS21154","566","Human","HA","H3N2","USA","N","2017/01/19","Influenza A virus (A/Alabama/03/2017(H3N2))","","","","","","c"
"AQS21159","230","Human","NS1","H3N2","USA","N","2017/01/19","Influenza A virus (A/Alabama/03/2017(H3N2))","","","","","","c"
"AVP06268","469","Human","NA","H3N2","USA","N","2018/01/03","Influenza A virus (A/Alabama/03/2018(H3N2))","","","","","","c"
"AVP06269","230","Human","NS1","H3N2","USA","N","2018/01/03","Influenza A virus (A/Alabama/03/2018(H3N2))","","","","","","c"
"AVP06275","716","Human","PA","H3N2","USA","N","2018/01/03","Influenza A virus (A/Alabama/03/2018(H3N2))","","","","","","c"
"AVP06279","759","Human","PB2","H3N2","USA","N","2018/01/03","Influenza A virus (A/Alabama/03/2018(H3N2))","E627K","","","","","c"
"QBM03146","566","Human","","H1N1","USA","N","2019/01/02","Influenza A virus (A/Alabama/03/2019)","","","","","","c"
"QBM03147","498","Human","NP","H1N1","USA","N","2019/01/02","Influenza A virus (A/Alabama/03/2019)","","","","","","c"
"QBM03151","219","Human","NS1","H1N1","USA","N","2019/01/02","Influenza A virus (A/Alabama/03/2019)","","","","","","c"
"QIQ44308","759","Human","PB2","H1N1","USA","N","2020/02/04","Influenza A virus (A/Alabama/03/2020)","","","","","","c"
"QIQ44309","252","Human","M1","H1N1","USA","N","2020/02/04","Influenza A virus (A/Alabama/03/2020)","S31N","","","","","c"
"QIQ44310","97","Human","M2","H1N1","USA","N","2020/02/04","Influenza A virus (A/Alabama/03/2020)","S31N","","","","","c"
"QIQ44311","469","Human","NA","H1N1","USA","N","2020/02/04","Influenza A virus (A/Alabama/03/2020)","H274Y","","","","","c"
"AGI53912","469","Human","NA","H1N1","USA","N","2009/11/02","Influenza A virus (A/Alabama/04/2009(H1N1))","","","","","","c"
"AGI53913","566","Human","HA","H1N1","USA","N","2009/11/02","Influenza A virus (A/Alabama/04/2009(H1N1))","","","","","","c"
"AGI53975","566","Human","HA","H1N1","USA","N","2010/03/15","Influenza A virus (A/Alabama/04/2010(H1N1))","","","","","","c"
"AGI53978","97","Human","M2","H1N1","USA","N","2010/03/15","Influenza A virus (A/Alabama/04/2010(H1N1))","S31N","","","","","c"
"AGL06244","469","Human","NA","H3N2","USA","N","2011/12/07","Influenza A virus (A/Alabama/04/2011(H3N2))","","","","","","c"
"AGL06595","566","Human","HA","H3N2","USA","N","2011/12/07","Influenza A virus (A/Alabama/04/2011(H3N2))","","","","","","c"
"AGL06975","97","Human","M2","H3N2","USA","N","2011/12/07","Influenza A virus (A/Alabama/04/2011(H3N2))","S31N","","","","","c"
"AGV28761","566","Human","HA","H1N1","USA","N","2013/02/25","Influenza A virus (A/Alabama/04/2013(H1N1))","","","","","","c"
"ALH25426","716","Human","PA","H3N2","USA","N","2015/01/22","Influenza A virus (A/Alabama/04/2015(H3N2))","","","","","","c"
"ALH25427","252","Human","PA-X","H3N2","USA","N","2015/01/22","Influenza A virus (A/Alabama/04/2015(H3N2))","","","","","","c"
"ALH25466","757","Human","PB1","H3N2","USA","N","2015/01/22","Influenza A virus (A/Alabama/04/2015(H3N2))","","","","","","c"
"ALH25487","469","Human","NA","H3N2","USA","N","2015/01/22","Influenza A virus (A/Alabama/04/2015(H3N2))","","","","","","c"
"AQS21161","759","Human","PB2","H3N2","USA","N","2017/01/23","Influenza A virus (A/Alabama/04/2017(H3N2))","E627K","","","","","c"
"AQS21166","566","Human","HA","H3N2","USA","N","2017/01/23","Influenza A virus (A/Alabama/04/2017(H3N2))","","","","","","c"
"AQS21168","469","Human","NA","H3N2","USA","N","2017/01/23","Influenza A virus (A/Alabama/04/2017(H3N2))","","","","","","c"
"QBS20582","757","Human","PB1","H3N2","USA","N","2019/01/03","Influenza A virus (A/Alabama/04/2019)","","","","","","c"
"QBS20586","566","Human","HA","H3N2","USA","N","2019/01/03","Influenza A virus (A/Alabama/04/2019)","","","","","","c"
"AGF68820","566","Human","HA","H3N2","USA","N","2010/07/13","Influenza A virus (A/Alabama/05/2010(H3N2))","","","","","","c"
"AGL06633","469","Human","NA","H3N2","USA","N","2012/03/01","Influenza A virus (A/Alabama/05/2012(H3N2))","","","","","","c"
"ALH27584","469","Human","NA","H3N2","USA","N","2014/10/20","Influenza A virus (A/Alabama/05/2014(H3N2))","","","","","","c"
"ALH27635","498","Human","NP","H3N2","USA","N","2014/10/20","Influenza A virus (A/Alabama/05/2014(H3N2))","","","","","","c"
"ALH27702","230","Human","NS1","H3N2","USA","N","2014/10/20","Influenza A virus (A/Alabama/05/2014(H3N2))","","","","","","c"
"AQW36936","219","Human","NS1","H1N1","USA","N","2017/01/30","Influenza A virus (A/Alabama/05/2017(H1N1))","","","","","","c"
"AVR40562","716","Human","PA","H1N1","USA","N","2018/01/12","Influenza A virus (A/Alabama/05/2018(H1N1))","","","","","","c"
"QBS20598","566","Human","HA","H3N2","USA","N","2019/01/03","Influenza A virus (A/Alabama/05/2019)","","","","","","c"
"QBS20599","498","Human","NP","H3N2","USA","N","2019/01/03","Influenza A virus (A/Alabama/05/2019)","","","","","","c"
"QBS20600","469","Human","NA","H3N2","USA","N","2019/01/03","Influenza A virus (A/Alabama/05/2019)","","","","","","c"
"AGI53998","566","Human","HA","H1N1","USA","N","2010/07/19","Influenza A virus (A/Alabama/06/2010(H1N1))","","","","","","c"
"AGI53999","469","Human","NA","H1N1","USA","N","2010/07/19","Influenza A virus (A/Alabama/06/2010(H1N1))","","","","","","c"
"AGL04832","469","Human","NA","H1N1","USA","N","2012/03/19","Influenza A virus (A/Alabama/06/2012(H1N1))","","","","","","c"
"APB90250","469","Human","NA","H3N2","USA","N","2015/03/11","Influenza A virus (A/Alabama/06/2015(H3N2))","","","","","","c"
"ANM96537","566","Human","HA","H3N2","USA","N","2016/01/20","Influenza A virus (A/Alabama/06/2016(H3N2))","","","","","","c"
"AQW36893","757","Human","PB1","H3N2","USA","N","2017/02/07","Influenza A virus (A/Alabama/06/2017(H3N2))","","","","","","c"
"AQW36894","90","Human","PB1-F2","H3N2","USA","N","2017/02/07","Influenza A virus (A/Alabama/06/2017(H3N2))","","","","","","c"
"AQW36895","716","Human","PA","H3N2","USA","N","2017/02/07","Influenza A virus (A/Alabama/06/2017(H3N2))","","","","","","c"
"AQW36902","217","Human","NS1","H3N2","USA","N","2017/02/07","Influenza A virus (A/Alabama/06/2017(H3N2))","","","","","","c"
"QBM03153","759","Human","PB2","H1N1","USA","N","2019/01/19","Influenza A virus (A/Alabama/06/2019)","","","","","","c"
"QBM03156","232","Human","PA-X","H1N1","USA","N","2019/01/19","Influenza A virus (A/Alabama/06/2019)","","","","","","c"
"QBM03159","469","Human","NA","H1N1","USA","N","2019/01/19","Influenza A virus (A/Alabama/06/2019)","","","","","","c"
"QIV14124","759","Human","PB2","H1N1","USA","N","2020/02/10","Influenza A virus (A/Alabama/06/2020)","","","","","","c"
"QIV14126","716","Human","PA","H1N1","USA","N","2020/02/10","Influenza A virus (A/Alabama/06/2020)","","","","","","c"
"QIV14127","232","Human","","H1N1","USA","N","2020/02/10","Influenza A virus (A/Alabama/06/2020)","","","","","","c"
"QIV14133","219","Human","NS1","H1N1","USA","N","2020/02/10","Influenza A virus (A/Alabama/06/2020)","","","","","","c"
"AGK73865","566","Human","HA","H3N2","USA","N","2010/10/28","Influenza A virus (A/Alabama/07/2010(H3N2))","","","","","","c"
"AGL07299","566","Human","HA","H3N2","USA","N","2012/03/20","Influenza A virus (A/Alabama/07/2012(H3N2))","","","","","","c"
"AGZ61185","469","Human","NA","H3N2","USA","N","2013/05/22","Influenza A virus (A/Alabama/07/2013(H3N2))","","","","","","c"
"ALH27846","252","Human","PA-X","H3N2","USA","N","2014/10/23","Influenza A virus (A/Alabama/07/2014(H3N2))","","","","","","c"
"ALH34492","566","Human","HA","H3N2","USA","N","2015/02/11","Influenza A virus (A/Alabama/07/2015(H3N2))","","","","","","c"
"ALH34739","716","Human","PA","H3N2","USA","N","2015/02/11","Influenza A virus (A/Alabama/07/2015(H3N2))","","","","","","c"
"ALH34740","252","Human","PA-X","H3N2","USA","N","2015/02/11","Influenza A virus (A/Alabama/07/2015(H3N2))","","","","","","c"
"ALH34799","498","Human","NP","H3N2","USA","N","2015/02/11","Influenza A virus (A/Alabama/07/2015(H3N2))","","","","","","c"
"ALH35700","759","Human","PB2","H3N2","USA","N","2015/02/11","Influenza A virus (A/Alabama/07/2015(H3N2))","E627K","","","","","c"
"AQW36906","90","Human","PB1-F2","H3N2","USA","N","2017/02/07","Influenza A virus (A/Alabama/07/2017(H3N2))","","","","","","c"
"AQW36914","217","Human","NS1","H3N2","USA","N","2017/02/07","Influenza A virus (A/Alabama/07/2017(H3N2))","","","","","","c"
"AVR40574","232","Human","PA-X","H1N1","USA","N","2018/01/13","Influenza A virus (A/Alabama/07/2018(H1N1))","","","","","","c"
"AVR40575","757","Human","PB1","H1N1","USA","N","2018/01/13","Influenza A virus (A/Alabama/07/2018(H1N1))","","","","","","c"
"QBP38197","566","Human","HA","H3N2","USA","N","2019/01/17","Influenza A virus (A/Alabama/07/2019)","","","","","","c"
"QBP38198","498","Human","NP","H3N2","USA","N","2019/01/17","Influenza A virus (A/Alabama/07/2019)","","","","","","c"
"QIZ31833","757","Human","PB1","H1N1","USA","N","2020/02/25","Influenza A virus (A/Alabama/07/2020)","","","","","","c"
"QIZ31834","716","Human","PA","H1N1","USA","N","2020/02/25","Influenza A virus (A/Alabama/07/2020)","","","","","","c"
"QIZ31835","232","Human","","H1N1","USA","N","2020/02/25","Influenza A virus (A/Alabama/07/2020)","","","","","","c"
"AGI53217","566","Human","HA","H1N1","USA","N","2009/12/04","Influenza A virus (A/Alabama/08/2009(H1N1))","","","","","","c"
"AGK74026","469","Human","NA","H3N2","USA","N","2010/11/03","Influenza A virus (A/Alabama/08/2010(H3N2))","","","","","","c"
"AGK74029","97","Human","M2","H3N2","USA","N","2010/11/03","Influenza A virus (A/Alabama/08/2010(H3N2))","S31N","","","","","c"
"AGL06127","566","Human","HA","H3N2","USA","N","2012/04/04","Influenza A virus (A/Alabama/08/2012(H3N2))","","","","","","c"
"AGL06128","469","Human","NA","H3N2","USA","N","2012/04/04","Influenza A virus (A/Alabama/08/2012(H3N2))","","","","","","c"
"ALH29071","230","Human","NS1","H3N2","USA","N","2014/11/05","Influenza A virus (A/Alabama/08/2014(H3N2))","","","","","","c"
"ALH34851","97","Human","M2","H3N2","USA","N","2015/02/14","Influenza A virus (A/Alabama/08/2015(H3N2))","S31N","","","","","c"
"ALH35625","716","Human","PA","H3N2","USA","N","2015/02/14","Influenza A virus (A/Alabama/08/2015(H3N2))","","","","","","c"
"ARB17385","757","Human","PB1","H3N2","USA","N","2017/02/20","Influenza A virus (A/Alabama/08/2017(H3N2))","","","","","","c"
"ARB17391","469","Human","NA","H3N2","USA","N","2017/02/20","Influenza A virus (A/Alabama/08/2017(H3N2))","","","","","","c"
"AVR40577","219","Human","NS1","H1N1","USA","N","2018/01/15","Influenza A virus (A/Alabama/08/2018(H1N1))","","","","","","c"
"AVR40583","566","Human","","H1N1","USA","N","2018/01/15","Influenza A virus (A/Alabama/08/2018(H1N1))","","","","","","c"
"AVR40586","757","Human","PB1","H1N1","USA","N","2018/01/15","Influenza A virus (A/Alabama/08/2018(H1N1))","","","","","","c"
"QBP38211","469","Human","NA","H3N2","USA","N","2019/01/26","Influenza A virus (A/Alabama/08/2019)","","","","","","c"
"QBP38213","97","Human","M2","H3N2","USA","N","2019/01/26","Influenza A virus (A/Alabama/08/2019)","S31N","","","","","c"
"QIZ31842","566","Human","","H1N1","USA","N","2020/02/25","Influenza A virus (A/Alabama/08/2020)","","","","","","c"
"QIZ31843","498","Human","NP","H1N1","USA","N","2020/02/25","Influenza A virus (A/Alabama/08/2020)","","","","","","c"
"QIZ31847","219","Human","NS1","H1N1","USA","N","2020/02/25","Influenza A virus (A/Alabama/08/2020)","","","","","","c"
"ALH29078","469","Human","NA","H3N2","USA","N","2014/11/05","Influenza A virus (A/Alabama/09/2014(H3N2))","","","","","","c"
"ALH29530","759","Human","PB2","H3N2","USA","N","2014/11/05","Influenza A virus (A/Alabama/09/2014(H3N2))","E627K","","","","","c"
"ALH29555","566","Human","HA","H3N2","USA","N","2014/11/05","Influenza A virus (A/Alabama/09/2014(H3N2))","","","","","","c"
"ALH29613","757","Human","PB1","H3N2","USA","N","2014/11/05","Influenza A virus (A/Alabama/09/2014(H3N2))","","","","","","c"
"ALH29614","57","Human","PB1-F2","H3N2","USA","N","2014/11/05","Influenza A virus (A/Alabama/09/2014(H3N2))","","","","","","c"
"ALH30443","716","Human","PA","H3N2","USA","N","2014/11/05","Influenza A virus (A/Alabama/09/2014(H3N2))","","","","","","c"
"ALH30444","252","Human","PA-X","H3N2","USA","N","2014/11/05","Influenza A virus (A/Alabama/09/2014(H3N2))","","","","","","c"
"ALH34504","566","Human","HA","H3N2","USA","N","2015/02/14","Influenza A virus (A/Alabama/09/2015(H3N2))","","","","","","c"
"ALH34505","498","Human","NP","H3N2","USA","N","2015/02/14","Influenza A virus (A/Alabama/09/2015(H3N2))","","","","","","c"
"ANN00834","759","Human","PB2","H3N2","USA","N","2016/02/11","Influenza A virus (A/Alabama/09/2016(H3N2))","E627K","","","","","c"
"ARB17396","759","Human","PB2","H3N2","USA","N","2017/02/24","Influenza A virus (A/Alabama/09/2017(H3N2))","E627K","","","","","c"
"ARB17398","90","Human","PB1-F2","H3N2","USA","N","2017/02/24","Influenza A virus (A/Alabama/09/2017(H3N2))","","","","","","c"
"AVR41529","566","Human","HA","H3N2","USA","N","2018/01/16","Influenza A virus (A/Alabama/09/2018(H3N2))","","","","","","c"
"AVR41530","757","Human","PB1","H3N2","USA","N","2018/01/16","Influenza A virus (A/Alabama/09/2018(H3N2))","","","","","","c"
"QBY33727","469","Human","NA","H1N1","USA","N","2019/01/31","Influenza A virus (A/Alabama/09/2019)","","","","","","c"
"QJT24315","757","Human","PB1","H1N1","USA","N","2020/03/05","Influenza A virus (A/Alabama/09/2020)","","","","","","c"
"QJT24316","716","Human","PA","H1N1","USA","N","2020/03/05","Influenza A virus (A/Alabama/09/2020)","","","","","","c"
"QJT24320","469","Human","NA","H1N1","USA","N","2020/03/05","Influenza A virus (A/Alabama/09/2020)","","","","","","c"
"AAA43155","345","Human","HA","H3N2","USA","N","1981","Influenza A virus (A/Alabama/1/1981(H3N2))","","","","","","p"
"ABI96102","343","Human","HA","H1N2","USA","N","2003/01/13","Influenza A virus (A/Alabama/1/2003(H1N2))","","","","","","p"
"AGK73724","469","Human","NA","H3N2","USA","N","2010/11/07","Influenza A virus (A/Alabama/10/2010(H3N2))","","","","","","c"
"AGK73725","566","Human","HA","H3N2","USA","N","2010/11/07","Influenza A virus (A/Alabama/10/2010(H3N2))","","","","","","c"
"ALH31195","716","Human","PA","H3N2","USA","N","2014/12/04","Influenza A virus (A/Alabama/10/2014(H3N2))","","","","","","c"
"ALH31303","469","Human","NA","H3N2","USA","N","2014/12/04","Influenza A virus (A/Alabama/10/2014(H3N2))","","","","","","c"
"ALH31450","757","Human","PB1","H3N2","USA","N","2014/12/04","Influenza A virus (A/Alabama/10/2014(H3N2))","","","","","","c"
"ALH31451","90","Human","PB1-F2","H3N2","USA","N","2014/12/04","Influenza A virus (A/Alabama/10/2014(H3N2))","","","","","","c"
"ALH31529","97","Human","M2","H3N2","USA","N","2014/12/04","Influenza A virus (A/Alabama/10/2014(H3N2))","S31N","","","","","c"
"ANE26325","757","Human","PB1","H3N2","USA","N","2015/09/08","Influenza A virus (A/Alabama/10/2015(H3N2))","","","","","","c"
"ARQ87030","759","Human","PB2","H3N2","USA","N","2017/03/06","Influenza A virus (A/Alabama/10/2017(H3N2))","E627K","","","","","c"
"ARQ87033","716","Human","PA","H3N2","USA","N","2017/03/06","Influenza A virus (A/Alabama/10/2017(H3N2))","","","","","","c"
"ARQ87035","566","Human","HA","H3N2","USA","N","2017/03/06","Influenza A virus (A/Alabama/10/2017(H3N2))","","","","","","c"
"ARQ87037","469","Human","NA","H3N2","USA","N","2017/03/06","Influenza A virus (A/Alabama/10/2017(H3N2))","","","","","","c"
"ARQ87040","217","Human","NS1","H3N2","USA","N","2017/03/06","Influenza A virus (A/Alabama/10/2017(H3N2))","","","","","","c"
"QBY32546","757","Human","PB1","H3N2","USA","N","2019/02/01","Influenza A virus (A/Alabama/10/2019)","","","","","","c"
"QBY32552","469","Human","NA","H3N2","USA","N","2019/02/01","Influenza A virus (A/Alabama/10/2019)","","","","","","c"
"QJT24326","757","Human","PB1","H1N1","USA","N","2020/03/09","Influenza A virus (A/Alabama/10/2020)","","","","","","c"
"QJT24329","566","Human","","H1N1","USA","N","2020/03/09","Influenza A virus (A/Alabama/10/2020)","","","","","","c"
"ALH31221","716","Human","PA","H3N2","USA","N","2014/12/08","Influenza A virus (A/Alabama/11/2014(H3N2))","","","","","","c"
"ANM94316","757","Human","PB1","H1N1","USA","N","2016/04/05","Influenza A virus (A/Alabama/11/2016(H1N1))","","","","","","c"
"AVR40605","566","Human","","H1N1","USA","N","2018/01/18","Influenza A virus (A/Alabama/11/2018(H1N1))","","","","","","c"
"AVR40609","759","Human","PB2","H1N1","USA","N","2018/01/18","Influenza A virus (A/Alabama/11/2018(H1N1))","","","","","","c"
"QBY32558","757","Human","PB1","H3N2","USA","N","2019/02/03","Influenza A virus (A/Alabama/11/2019)","","","","","","c"
"ALH30986","759","Human","PB2","H3N2","USA","N","2014/12/09","Influenza A virus (A/Alabama/12/2014(H3N2))","E627K","","","","","c"
"ALH31258","716","Human","PA","H3N2","USA","N","2014/12/09","Influenza A virus (A/Alabama/12/2014(H3N2))","","","","","","c"
"ALH31259","252","Human","PA-X","H3N2","USA","N","2014/12/09","Influenza A virus (A/Alabama/12/2014(H3N2))","","","","","","c"
"ALH31289","566","Human","HA","H3N2","USA","N","2014/12/09","Influenza A virus (A/Alabama/12/2014(H3N2))","","","","","","c"
"ALH31360","97","Human","M2","H3N2","USA","N","2014/12/09","Influenza A virus (A/Alabama/12/2014(H3N2))","S31N","","","","","c"
"ARQ87021","716","Human","PA","H3N2","USA","N","2017/03/09","Influenza A virus (A/Alabama/12/2017(H3N2))","","","","","","c"
"ARQ87025","470","Human","NA","H3N2","USA","N","2017/03/09","Influenza A virus (A/Alabama/12/2017(H3N2))","","","","","","c"
"QBY33734","716","Human","PA","H1N1","USA","N","2019/02/04","Influenza A virus (A/Alabama/12/2019)","","","","","","c"
"QBY33738","469","Human","NA","H1N1","USA","N","2019/02/04","Influenza A virus (A/Alabama/12/2019)","","","","","","c"
"AGK73576","469","Human","NA","H3N2","USA","N","2010/12/16","Influenza A virus (A/Alabama/13/2010(H3N2))","","","","","","c"
"APH10598","716","Human","PA","H3N2","USA","N","2016/10/19","Influenza A virus (A/Alabama/13/2016(H3N2))","","","","","","c"
"APH10605","469","Human","NA","H3N2","USA","N","2016/10/19","Influenza A virus (A/Alabama/13/2016(H3N2))","","","","","","c"
"APH10764","759","Human","PB2","H3N2","USA","N","2016/10/19","Influenza A virus (A/Alabama/13/2016(H3N2))","E627K","","","","","c"
"ARQ87009","716","Human","PA","H3N2","USA","N","2017/03/13","Influenza A virus (A/Alabama/13/2017(H3N2))","","","","","","c"
"AVR41635","566","Human","HA","H3N2","USA","N","2018/02/01","Influenza A virus (A/Alabama/13/2018(H3N2))","","","","","","c"
"APH10626","759","Human","PB2","H3N2","USA","N","2016/10/19","Influenza A virus (A/Alabama/14/2016(H3N2))","E627K","","","","","c"
"APH10639","90","Human","PB1-F2","H3N2","USA","N","2016/10/19","Influenza A virus (A/Alabama/14/2016(H3N2))","","","","","","c"
"APH10661","566","Human","HA","H3N2","USA","N","2016/10/19","Influenza A virus (A/Alabama/14/2016(H3N2))","","","","","","c"
