"accession","length","host","segment","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"CY038919","1721","Human","4 (HA)","H1N1","Nicaragua","T","2008/06/26","Influenza A virus (A/Managua/107.01/2008(H1N1))","","10","","","","c"
"CY038920","983","Human","7 (MP)","H1N1","Nicaragua","T","2008/06/26","Influenza A virus (A/Managua/107.01/2008(H1N1))","","10","","","","c"
"CY038921","1424","Human","6 (NA)","H1N1","Nicaragua","T","2008/06/26","Influenza A virus (A/Managua/107.01/2008(H1N1))","H274Y","10","","","","c"
"CY038922","1523","Human","5 (NP)","H1N1","Nicaragua","T","2008/06/26","Influenza A virus (A/Managua/107.01/2008(H1N1))","","10","","","","c"
"CY038923","846","Human","8 (NS)","H1N1","Nicaragua","T","2008/06/26","Influenza A virus (A/Managua/107.01/2008(H1N1))","","10","","","","c"
"CY038924","2194","Human","3 (PA)","H1N1","Nicaragua","T","2008/06/26","Influenza A virus (A/Managua/107.01/2008(H1N1))","","10","","","","c"
"CY038925","2301","Human","2 (PB1)","H1N1","Nicaragua","T","2008/06/26","Influenza A virus (A/Managua/107.01/2008(H1N1))","","10","","","","c"
"CY038926","2299","Human","1 (PB2)","H1N1","Nicaragua","T","2008/06/26","Influenza A virus (A/Managua/107.01/2008(H1N1))","E627K","10","","","","c"
"CY072603","2175","Human","3 (PA)","H1N1","Nicaragua","T","2009/08/05","Influenza A virus (A/Managua/1077.04/2009(H1N1))","","","","","","c"
"CY057219","2175","Human","3 (PA)","H1N1","Nicaragua","T","2009/06/13","Influenza A virus (A/Managua/109.01/2009(H1N1))","","","","","","c"
"CY057220","2303","Human","2 (PB1)","H1N1","Nicaragua","T","2009/06/13","Influenza A virus (A/Managua/109.01/2009(H1N1))","","","","","","c"
"CY038519","1707","Human","4 (HA)","H3N2","Nicaragua","T","2007/06/07","Influenza A virus (A/Managua/112.01/2007(H3N2))","","6Y","","","","c"
"CY038521","1416","Human","6 (NA)","H3N2","Nicaragua","T","2007/06/07","Influenza A virus (A/Managua/112.01/2007(H3N2))","","6Y","","","","c"
"CY038522","1503","Human","5 (NP)","H3N2","Nicaragua","T","2007/06/07","Influenza A virus (A/Managua/112.01/2007(H3N2))","","6Y","","","","c"
"CY038523","844","Human","8 (NS)","H3N2","Nicaragua","T","2007/06/07","Influenza A virus (A/Managua/112.01/2007(H3N2))","","6Y","","","","c"
"CY038524","2157","Human","3 (PA)","H3N2","Nicaragua","T","2007/06/07","Influenza A virus (A/Managua/112.01/2007(H3N2))","","6Y","","","","c"
"CY038525","2280","Human","2 (PB1)","H3N2","Nicaragua","T","2007/06/07","Influenza A virus (A/Managua/112.01/2007(H3N2))","","6Y","","","","c"
"CY038526","2283","Human","1 (PB2)","H3N2","Nicaragua","T","2007/06/07","Influenza A virus (A/Managua/112.01/2007(H3N2))","E627K","6Y","","","","c"
"CY058198","1420","Human","6 (NA)","H1N1","Nicaragua","T","2009/06/29","Influenza A virus (A/Managua/1127.02/2009(H1N1))","","","","","","c"
"CY058201","2175","Human","3 (PA)","H1N1","Nicaragua","T","2009/06/29","Influenza A virus (A/Managua/1127.02/2009(H1N1))","","","","","","c"
"CY058202","2303","Human","2 (PB1)","H1N1","Nicaragua","T","2009/06/29","Influenza A virus (A/Managua/1127.02/2009(H1N1))","","","","","","c"
"CY088899","1732","Human","4 (HA)","H3N2","Nicaragua","T","2010/06/01","Influenza A virus (A/Managua/1155.01/2010(H3N2))","","","","","","c"
"CY088903","860","Human","8 (NS)","H3N2","Nicaragua","T","2010/06/01","Influenza A virus (A/Managua/1155.01/2010(H3N2))","","","","","","c"
"CY088905","2312","Human","2 (PB1)","H3N2","Nicaragua","T","2010/06/01","Influenza A virus (A/Managua/1155.01/2010(H3N2))","","","","","","c"
"CY088906","2310","Human","1 (PB2)","H3N2","Nicaragua","T","2010/06/01","Influenza A virus (A/Managua/1155.01/2010(H3N2))","E627K","","","","","c"
"CY070953","1437","Human","6 (NA)","H3N2","Nicaragua","T","2010/06/03","Influenza A virus (A/Managua/1181.03/2010(H3N2))","","","","","","c"
"CY070954","1539","Human","5 (NP)","H3N2","Nicaragua","T","2010/06/03","Influenza A virus (A/Managua/1181.03/2010(H3N2))","","","","","","c"
"CY072886","1734","Human","4 (HA)","H1N1","Nicaragua","T","2009/09/14","Influenza A virus (A/Managua/12.01/2009(H1N1))","","","","","","c"
"CY072891","2175","Human","3 (PA)","H1N1","Nicaragua","T","2009/09/14","Influenza A virus (A/Managua/12.01/2009(H1N1))","","","","","","c"
"CY072892","2303","Human","2 (PB1)","H1N1","Nicaragua","T","2009/09/14","Influenza A virus (A/Managua/12.01/2009(H1N1))","","","","","","c"
"CY041218","1704","Human","4 (HA)","H1N1","Nicaragua","T","2008/06/08","Influenza A virus (A/Managua/1225.02/2008(H1N1))","","6","","","","c"
"CY041219","986","Human","7 (MP)","H1N1","Nicaragua","T","2008/06/08","Influenza A virus (A/Managua/1225.02/2008(H1N1))","","6","","","","c"
"CY041221","1497","Human","5 (NP)","H1N1","Nicaragua","T","2008/06/08","Influenza A virus (A/Managua/1225.02/2008(H1N1))","","6","","","","c"
"CY041222","844","Human","8 (NS)","H1N1","Nicaragua","T","2008/06/08","Influenza A virus (A/Managua/1225.02/2008(H1N1))","","6","","","","c"
"CY041223","2176","Human","3 (PA)","H1N1","Nicaragua","T","2008/06/08","Influenza A virus (A/Managua/1225.02/2008(H1N1))","","6","","","","c"
"CY041224","2286","Human","2 (PB1)","H1N1","Nicaragua","T","2008/06/08","Influenza A virus (A/Managua/1225.02/2008(H1N1))","","6","","","","c"
"CY041225","2298","Human","1 (PB2)","H1N1","Nicaragua","T","2008/06/08","Influenza A virus (A/Managua/1225.02/2008(H1N1))","E627K","6","","","","c"
"CY072942","1734","Human","4 (HA)","H1N1","Nicaragua","T","2009/08/28","Influenza A virus (A/Managua/1244.01/2009(H1N1))","","","","","","c"
"CY072943","987","Human","7 (MP)","H1N1","Nicaragua","T","2009/08/28","Influenza A virus (A/Managua/1244.01/2009(H1N1))","S31N","","","","","c"
"CY072944","1420","Human","6 (NA)","H1N1","Nicaragua","T","2009/08/28","Influenza A virus (A/Managua/1244.01/2009(H1N1))","","","","","","c"
"CY072945","1523","Human","5 (NP)","H1N1","Nicaragua","T","2009/08/28","Influenza A virus (A/Managua/1244.01/2009(H1N1))","","","","","","c"
"CY072946","850","Human","8 (NS)","H1N1","Nicaragua","T","2009/08/28","Influenza A virus (A/Managua/1244.01/2009(H1N1))","","","","","","c"
"CY072947","2175","Human","3 (PA)","H1N1","Nicaragua","T","2009/08/28","Influenza A virus (A/Managua/1244.01/2009(H1N1))","","","","","","c"
"CY072948","2303","Human","2 (PB1)","H1N1","Nicaragua","T","2009/08/28","Influenza A virus (A/Managua/1244.01/2009(H1N1))","","","","","","c"
"CY072949","2293","Human","1 (PB2)","H1N1","Nicaragua","T","2009/08/28","Influenza A virus (A/Managua/1244.01/2009(H1N1))","","","","","","c"
"CY073609","1734","Human","4 (HA)","H1N1","Nicaragua","T","2009/08/04","Influenza A virus (A/Managua/1256.04/2009(H1N1))","","","","","","c"
"CY073610","987","Human","7 (MP)","H1N1","Nicaragua","T","2009/08/04","Influenza A virus (A/Managua/1256.04/2009(H1N1))","S31N","","","","","c"
"CY073612","1523","Human","5 (NP)","H1N1","Nicaragua","T","2009/08/04","Influenza A virus (A/Managua/1256.04/2009(H1N1))","","","","","","c"
"CY073614","2175","Human","3 (PA)","H1N1","Nicaragua","T","2009/08/04","Influenza A virus (A/Managua/1256.04/2009(H1N1))","","","","","","c"
"CY073615","2303","Human","2 (PB1)","H1N1","Nicaragua","T","2009/08/04","Influenza A virus (A/Managua/1256.04/2009(H1N1))","","","","","","c"
"CY073616","2293","Human","1 (PB2)","H1N1","Nicaragua","T","2009/08/04","Influenza A virus (A/Managua/1256.04/2009(H1N1))","","","","","","c"
"CY088898","2310","Human","1 (PB2)","H3N2","Nicaragua","T","2010/06/01","Influenza A virus (A/Managua/1260.02/2010(H3N2))","E627K","","","","","c"
"CY069269","1523","Human","5 (NP)","H1N1","Nicaragua","T","2009/07/25","Influenza A virus (A/Managua/1264.03/2009(H1N1))","","","","","","c"
"CY069270","850","Human","8 (NS)","H1N1","Nicaragua","T","2009/07/25","Influenza A virus (A/Managua/1264.03/2009(H1N1))","","","","","","c"
"CY069271","2175","Human","3 (PA)","H1N1","Nicaragua","T","2009/07/25","Influenza A virus (A/Managua/1264.03/2009(H1N1))","","","","","","c"
"CY069273","2293","Human","1 (PB2)","H1N1","Nicaragua","T","2009/07/25","Influenza A virus (A/Managua/1264.03/2009(H1N1))","","","","","","c"
"CY072590","1734","Human","4 (HA)","H1N1","Nicaragua","T","2009/08/11","Influenza A virus (A/Managua/1356.03/2009(H1N1))","","","","","","c"
"CY072591","987","Human","7 (MP)","H1N1","Nicaragua","T","2009/08/11","Influenza A virus (A/Managua/1356.03/2009(H1N1))","S31N","","","","","c"
"CY072592","1420","Human","6 (NA)","H1N1","Nicaragua","T","2009/08/11","Influenza A virus (A/Managua/1356.03/2009(H1N1))","","","","","","c"
"CY072594","850","Human","8 (NS)","H1N1","Nicaragua","T","2009/08/11","Influenza A virus (A/Managua/1356.03/2009(H1N1))","","","","","","c"
"CY072597","2293","Human","1 (PB2)","H1N1","Nicaragua","T","2009/08/11","Influenza A virus (A/Managua/1356.03/2009(H1N1))","","","","","","c"
"CY032525","1714","Human","4 (HA)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/14/2007(H3N2))","","2Y","F","","","c"
"CY032527","1429","Human","6 (NA)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/14/2007(H3N2))","","2Y","F","","","c"
"CY032528","1527","Human","5 (NP)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/14/2007(H3N2))","","2Y","F","","","c"
"CY032529","847","Human","8 (NS)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/14/2007(H3N2))","","2Y","F","","","c"
"CY032530","2190","Human","3 (PA)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/14/2007(H3N2))","","2Y","F","","","c"
"CY032531","2299","Human","2 (PB1)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/14/2007(H3N2))","","2Y","F","","","c"
"CY032532","2304","Human","1 (PB2)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/14/2007(H3N2))","E627K","2Y","F","","","c"
"CY039135","1726","Human","4 (HA)","H1N1","Nicaragua","T","2008/08/27","Influenza A virus (A/Managua/1409.01/2008(H1N1))","","6","","","","c"
"CY039136","988","Human","7 (MP)","H1N1","Nicaragua","T","2008/08/27","Influenza A virus (A/Managua/1409.01/2008(H1N1))","","6","","","","c"
"CY039137","1429","Human","6 (NA)","H1N1","Nicaragua","T","2008/08/27","Influenza A virus (A/Managua/1409.01/2008(H1N1))","H274Y","6","","","","c"
"CY039138","1518","Human","5 (NP)","H1N1","Nicaragua","T","2008/08/27","Influenza A virus (A/Managua/1409.01/2008(H1N1))","","6","","","","c"
"CY039139","851","Human","8 (NS)","H1N1","Nicaragua","T","2008/08/27","Influenza A virus (A/Managua/1409.01/2008(H1N1))","","6","","","","c"
"CY039140","2185","Human","3 (PA)","H1N1","Nicaragua","T","2008/08/27","Influenza A virus (A/Managua/1409.01/2008(H1N1))","","6","","","","c"
"CY039141","2302","Human","2 (PB1)","H1N1","Nicaragua","T","2008/08/27","Influenza A virus (A/Managua/1409.01/2008(H1N1))","","6","","","","c"
"CY039142","2287","Human","1 (PB2)","H1N1","Nicaragua","T","2008/08/27","Influenza A virus (A/Managua/1409.01/2008(H1N1))","E627K","6","","","","c"
"CY072741","2293","Human","1 (PB2)","H1N1","Nicaragua","T","2009/09/12","Influenza A virus (A/Managua/1419.02/2009(H1N1))","","","","","","c"
"CY073871","1437","Human","6 (NA)","H3N2","Nicaragua","T","2010/06/04","Influenza A virus (A/Managua/1422.03/2010(H3N2))","","","","","","c"
"CY073873","863","Human","8 (NS)","H3N2","Nicaragua","T","2010/06/04","Influenza A virus (A/Managua/1422.03/2010(H3N2))","","","","","","c"
"CY058084","1734","Human","4 (HA)","H1N1","Nicaragua","T","2009/06/06","Influenza A virus (A/Managua/1455.01/2009(H1N1))","","","","","","c"
"CY058090","2303","Human","2 (PB1)","H1N1","Nicaragua","T","2009/06/06","Influenza A virus (A/Managua/1455.01/2009(H1N1))","","","","","","c"
"CY032461","1716","Human","4 (HA)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/15/2007(H3N2))","","3Y","F","","","c"
"CY032463","1430","Human","6 (NA)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/15/2007(H3N2))","","3Y","F","","","c"
"CY032464","1523","Human","5 (NP)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/15/2007(H3N2))","","3Y","F","","","c"
"CY032467","2303","Human","2 (PB1)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/15/2007(H3N2))","","3Y","F","","","c"
"CY032468","2298","Human","1 (PB2)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/15/2007(H3N2))","E627K","3Y","F","","","c"
"CY038551","1717","Human","4 (HA)","H3N2","Nicaragua","T","2007/06/24","Influenza A virus (A/Managua/1507.01/2007(H3N2))","","5","","","","c"
"CY038552","989","Human","7 (MP)","H3N2","Nicaragua","T","2007/06/24","Influenza A virus (A/Managua/1507.01/2007(H3N2))","S31N","5","","","","c"
"CY038553","1432","Human","6 (NA)","H3N2","Nicaragua","T","2007/06/24","Influenza A virus (A/Managua/1507.01/2007(H3N2))","","5","","","","c"
"CY038554","1515","Human","5 (NP)","H3N2","Nicaragua","T","2007/06/24","Influenza A virus (A/Managua/1507.01/2007(H3N2))","","5","","","","c"
"CY038555","839","Human","8 (NS)","H3N2","Nicaragua","T","2007/06/24","Influenza A virus (A/Managua/1507.01/2007(H3N2))","","5","","","","p"
"CY038556","2193","Human","3 (PA)","H3N2","Nicaragua","T","2007/06/24","Influenza A virus (A/Managua/1507.01/2007(H3N2))","","5","","","","c"
"CY038558","2281","Human","1 (PB2)","H3N2","Nicaragua","T","2007/06/24","Influenza A virus (A/Managua/1507.01/2007(H3N2))","E627K","5","","","","c"
"CY074780","999","Human","7 (MP)","H3N2","Nicaragua","T","2010/06/08","Influenza A virus (A/Managua/1535.03/2010(H3N2))","S31N","","","","","c"
"CY074785","2312","Human","2 (PB1)","H3N2","Nicaragua","T","2010/06/08","Influenza A virus (A/Managua/1535.03/2010(H3N2))","","","","","","c"
"CY039464","987","Human","7 (MP)","H1N1","Nicaragua","T","2008/06/11","Influenza A virus (A/Managua/156.01/2008(H1N1))","","10","","","","c"
"CY039465","1416","Human","6 (NA)","H1N1","Nicaragua","T","2008/06/11","Influenza A virus (A/Managua/156.01/2008(H1N1))","","10","","","","p"
"CY039466","1524","Human","5 (NP)","H1N1","Nicaragua","T","2008/06/11","Influenza A virus (A/Managua/156.01/2008(H1N1))","","10","","","","c"
"CY039467","840","Human","8 (NS)","H1N1","Nicaragua","T","2008/06/11","Influenza A virus (A/Managua/156.01/2008(H1N1))","","10","","","","c"
"CY039468","2200","Human","3 (PA)","H1N1","Nicaragua","T","2008/06/11","Influenza A virus (A/Managua/156.01/2008(H1N1))","","10","","","","c"
"CY039469","2300","Human","2 (PB1)","H1N1","Nicaragua","T","2008/06/11","Influenza A virus (A/Managua/156.01/2008(H1N1))","","10","","","","c"
"CY039470","2292","Human","1 (PB2)","H1N1","Nicaragua","T","2008/06/11","Influenza A virus (A/Managua/156.01/2008(H1N1))","E627K","10","","","","c"
"CY032471","1422","Human","6 (NA)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/16/2007(H3N2))","","2Y","F","","","c"
"CY032472","1523","Human","5 (NP)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/16/2007(H3N2))","","2Y","F","","","c"
"CY032473","846","Human","8 (NS)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/16/2007(H3N2))","","2Y","F","","","c"
"CY032475","2299","Human","2 (PB1)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/16/2007(H3N2))","","2Y","F","","","c"
"CY032476","2298","Human","1 (PB2)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/16/2007(H3N2))","E627K","2Y","F","","","c"
"CY058123","2293","Human","1 (PB2)","H1N1","Nicaragua","T","2009/06/13","Influenza A virus (A/Managua/1637.01/2009(H1N1))","","","","","","c"
"CY058260","1734","Human","4 (HA)","H1N1","Nicaragua","T","2009/08/18","Influenza A virus (A/Managua/164.01/2009(H1N1))","","","","","","c"
"CY058262","1420","Human","6 (NA)","H1N1","Nicaragua","T","2009/08/18","Influenza A virus (A/Managua/164.01/2009(H1N1))","","","","","","c"
"CY098084","1537","Human","5 (NP)","H3N2","Nicaragua","T","2010/06/09","Influenza A virus (A/Managua/1645.03/2010(H3N2))","","","","","","c"
"CY057211","2175","Human","3 (PA)","H1N1","Nicaragua","T","2009/06/11","Influenza A virus (A/Managua/167.01/2009(H1N1))","","","","","","c"
"CY057212","2303","Human","2 (PB1)","H1N1","Nicaragua","T","2009/06/11","Influenza A virus (A/Managua/167.01/2009(H1N1))","","","","","","c"
"CY089000","2192","Human","3 (PA)","H3N2","Nicaragua","T","2010/06/10","Influenza A virus (A/Managua/1685.01/2010(H3N2))","","","","","","c"
"CY034084","1723","Human","4 (HA)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/17/2007(H3N2))","","4Y","M","","","c"
"CY034085","983","Human","7 (MP)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/17/2007(H3N2))","A30T S31N","4Y","M","","","c"
"CY034086","1430","Human","6 (NA)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/17/2007(H3N2))","","4Y","M","","","c"
"CY034087","1527","Human","5 (NP)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/17/2007(H3N2))","","4Y","M","","","c"
"CY034088","846","Human","8 (NS)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/17/2007(H3N2))","","4Y","M","","","c"
"CY034089","2191","Human","3 (PA)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/17/2007(H3N2))","","4Y","M","","","c"
"CY034090","2301","Human","2 (PB1)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/17/2007(H3N2))","","4Y","M","","","c"
"CY034091","2305","Human","1 (PB2)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/17/2007(H3N2))","E627K","4Y","M","","","c"
"CY058078","1420","Human","6 (NA)","H1N1","Nicaragua","T","2009/06/07","Influenza A virus (A/Managua/171.01/2009(H1N1))","","","","","","c"
"CY058081","2175","Human","3 (PA)","H1N1","Nicaragua","T","2009/06/07","Influenza A virus (A/Managua/171.01/2009(H1N1))","","","","","","c"
"CY058082","2303","Human","2 (PB1)","H1N1","Nicaragua","T","2009/06/07","Influenza A virus (A/Managua/171.01/2009(H1N1))","","","","","","c"
"CY074795","1731","Human","4 (HA)","H3N2","Nicaragua","T","2010/06/03","Influenza A virus (A/Managua/1784.03/2010(H3N2))","","","","","","c"
"CY032501","1723","Human","4 (HA)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/18/2007(H3N2))","","6Y","F","","","c"
"CY032503","1432","Human","6 (NA)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/18/2007(H3N2))","","6Y","F","","","c"
"CY032504","1530","Human","5 (NP)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/18/2007(H3N2))","","6Y","F","","","c"
"CY032507","2297","Human","2 (PB1)","H3N2","Nicaragua","T","2007/06/21","Influenza A virus (A/Managua/18/2007(H3N2))","","6Y","F","","","c"
"CY070943","1731","Human","4 (HA)","H3N2","Nicaragua","T","2010/06/07","Influenza A virus (A/Managua/1807.03/2010(H3N2))","","","","","","c"
"CY070948","2192","Human","3 (PA)","H3N2","Nicaragua","T","2010/06/07","Influenza A virus (A/Managua/1807.03/2010(H3N2))","","","","","","c"
"CY070950","2314","Human","1 (PB2)","H3N2","Nicaragua","T","2010/06/07","Influenza A virus (A/Managua/1807.03/2010(H3N2))","E627K","","","","","c"
"CY072630","1734","Human","4 (HA)","H1N1","Nicaragua","T","2009/07/30","Influenza A virus (A/Managua/1836.02/2009(H1N1))","","","","","","c"
"CY072631","987","Human","7 (MP)","H1N1","Nicaragua","T","2009/07/30","Influenza A virus (A/Managua/1836.02/2009(H1N1))","S31N","","","","","c"
"CY072633","1523","Human","5 (NP)","H1N1","Nicaragua","T","2009/07/30","Influenza A virus (A/Managua/1836.02/2009(H1N1))","","","","","","c"
"CY072634","850","Human","8 (NS)","H1N1","Nicaragua","T","2009/07/30","Influenza A virus (A/Managua/1836.02/2009(H1N1))","","","","","","c"
"CY072635","2175","Human","3 (PA)","H1N1","Nicaragua","T","2009/07/30","Influenza A virus (A/Managua/1836.02/2009(H1N1))","","","","","","c"
"CY072637","2293","Human","1 (PB2)","H1N1","Nicaragua","T","2009/07/30","Influenza A virus (A/Managua/1836.02/2009(H1N1))","","","","","","c"
"CY074768","2192","Human","3 (PA)","H3N2","Nicaragua","T","2010/06/09","Influenza A virus (A/Managua/1856.03/2010(H3N2))","","","","","","c"
"CY074769","2311","Human","2 (PB1)","H3N2","Nicaragua","T","2010/06/09","Influenza A virus (A/Managua/1856.03/2010(H3N2))","","","","","","c"
"CY074770","2310","Human","1 (PB2)","H3N2","Nicaragua","T","2010/06/09","Influenza A virus (A/Managua/1856.03/2010(H3N2))","E627K","","","","","c"
"CY038559","1720","Human","4 (HA)","H3N2","Nicaragua","T","2007/06/23","Influenza A virus (A/Managua/1867.01/2007(H3N2))","","5","","","","c"
"CY038560","985","Human","7 (MP)","H3N2","Nicaragua","T","2007/06/23","Influenza A virus (A/Managua/1867.01/2007(H3N2))","S31N","5","","","","c"
"CY038561","1432","Human","6 (NA)","H3N2","Nicaragua","T","2007/06/23","Influenza A virus (A/Managua/1867.01/2007(H3N2))","","5","","","","c"
"CY038562","1523","Human","5 (NP)","H3N2","Nicaragua","T","2007/06/23","Influenza A virus (A/Managua/1867.01/2007(H3N2))","","5","","","","c"
"CY038563","845","Human","8 (NS)","H3N2","Nicaragua","T","2007/06/23","Influenza A virus (A/Managua/1867.01/2007(H3N2))","","5","","","","c"
"CY038565","2302","Human","2 (PB1)","H3N2","Nicaragua","T","2007/06/23","Influenza A virus (A/Managua/1867.01/2007(H3N2))","","5","","","","c"
"CY038566","2293","Human","1 (PB2)","H3N2","Nicaragua","T","2007/06/23","Influenza A virus (A/Managua/1867.01/2007(H3N2))","E627K","5","","","","c"
